brand,exposures,unique_teams,tournaments,champions,top4,top8,avg_final_position,median_final_position,champion_rate_per_exposure,top4_rate_per_exposure,top8_rate_per_exposure
adidas,124,47,13,6,24,45,12.387096774193548,11.5,0.04838709677419355,0.1935483870967742,0.3629032258064516
nike,66,22,7,2,14,24,14.696969696969697,14.5,0.030303030303030304,0.21212121212121213,0.36363636363636365
le coq sportif,9,8,4,2,2,4,11.11111111111111,11.0,0.2222222222222222,0.2222222222222222,0.4444444444444444
puma,46,21,10,1,3,7,18.08695652173913,19.5,0.021739130434782608,0.06521739130434782,0.15217391304347827
umbro,32,19,12,1,3,8,13.5625,12.5,0.03125,0.09375,0.25
athleta,2,1,2,1,2,2,2.5,2.5,0.5,1.0,1.0
erima,2,1,2,1,1,2,3.5,3.5,0.5,0.5,1.0
diadora,7,4,4,0,2,2,12.142857142857142,12.0,0.0,0.2857142857142857,0.2857142857142857
lotto,9,9,5,0,1,5,14.333333333333334,8.0,0.0,0.1111111111111111,0.5555555555555556
reebok,6,5,4,0,1,1,15.833333333333334,17.0,0.0,0.16666666666666666,0.16666666666666666
landoni,2,1,2,0,1,1,6.0,6.0,0.0,0.5,0.5
baila,1,1,1,0,1,1,4.0,4.0,0.0,1.0,1.0
sanz hermanos,1,1,1,0,1,1,4.0,4.0,0.0,1.0,1.0
in-house,7,7,2,0,0,2,11.714285714285714,13.0,0.0,0.0,0.2857142857142857
hummel,5,1,5,0,0,1,13.2,10.0,0.0,0.0,0.2
,5,2,5,0,0,0,19.0,18.0,0.0,0.0,0.0
joma,4,2,4,0,0,0,27.75,30.5,0.0,0.0,0.0
kappa,4,4,3,0,0,0,20.5,21.5,0.0,0.0,0.0
new balance,3,2,2,0,0,0,29.333333333333332,29.0,0.0,0.0,0.0
topper,3,2,3,0,0,2,7.666666666666667,5.0,0.0,0.0,0.6666666666666666
uhlsport,3,3,3,0,0,0,27.333333333333332,28.0,0.0,0.0,0.0
admiral,2,2,1,0,0,1,8.0,8.0,0.0,0.0,0.5
marathon sports,2,1,2,0,0,0,14.5,14.5,0.0,0.0,0.0
shamel,2,1,2,0,0,0,20.0,20.0,0.0,0.0,0.0
aba sport,1,1,1,0,0,0,13.0,13.0,0.0,0.0,0.0
asics,1,1,1,0,0,0,31.0,31.0,0.0,0.0,0.0
atlética,1,1,1,0,0,0,24.0,24.0,0.0,0.0,0.0
brooks,1,1,1,0,0,0,10.0,10.0,0.0,0.0,0.0
burrda sports,1,1,1,0,0,1,6.0,6.0,0.0,0.0,1.0
deportes cóndor,1,1,1,0,0,0,10.0,10.0,0.0,0.0,0.0
erreà,1,1,1,0,0,0,28.0,28.0,0.0,0.0,0.0
kopa,1,1,1,0,0,0,11.0,11.0,0.0,0.0,0.0
l-sporto,1,1,1,0,0,0,26.0,26.0,0.0,0.0,0.0
legea,1,1,1,0,0,0,32.0,32.0,0.0,0.0,0.0
levi’s,1,1,1,0,0,0,16.0,16.0,0.0,0.0,0.0
majid,1,1,1,0,0,0,26.0,26.0,0.0,0.0,0.0
marathon,1,1,1,0,0,0,18.0,18.0,0.0,0.0,0.0
mitre,1,1,1,0,0,0,22.0,22.0,0.0,0.0,0.0
olimpiada,1,1,1,0,0,1,5.0,5.0,0.0,0.0,1.0
one all sports,1,1,1,0,0,0,19.0,19.0,0.0,0.0,0.0
penalty,1,1,1,0,0,0,20.0,20.0,0.0,0.0,0.0
rainha,1,1,1,0,0,0,13.0,13.0,0.0,0.0,0.0
rapido,1,1,1,0,0,0,20.0,20.0,0.0,0.0,0.0
rigg,1,1,1,0,0,1,6.0,6.0,0.0,0.0,1.0
weekend,1,1,1,0,0,0,20.0,20.0,0.0,0.0,0.0
