year,brand,teams,champions,top4,top8,top16,avg_final_position,median_final_position,teams_with_position,total_teams,total_champions,total_top4,total_top8,total_top16,share_teams,share_champions,share_top4,share_top8,share_top16
1970,athleta,1,1,1,1,1,1.0,1.0,1,16,1,4,8,16,0.0625,1.0,0.25,0.125,0.0625
1970,in-house,6,0,0,1,6,12.666666666666666,13.5,6,16,1,4,8,16,0.375,0.0,0.0,0.125,0.375
1970,landoni,1,0,1,1,1,2.0,2.0,1,16,1,4,8,16,0.0625,0.0,0.25,0.125,0.0625
1970,olimpiada,1,0,0,1,1,5.0,5.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.125,0.0625
1970,rigg,1,0,0,1,1,6.0,6.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.125,0.0625
1970,sanz hermanos,1,0,1,1,1,4.0,4.0,1,16,1,4,8,16,0.0625,0.0,0.25,0.125,0.0625
1970,umbro,5,0,1,2,5,8.4,9.0,5,16,1,4,8,16,0.3125,0.0,0.25,0.25,0.3125
1974,adidas,9,0,2,5,9,9.0,8.0,9,16,1,4,8,16,0.5625,0.0,0.5,0.625,0.5625
1974,athleta,1,0,1,1,1,4.0,4.0,1,16,1,4,8,16,0.0625,0.0,0.25,0.125,0.0625
1974,erima,1,1,1,1,1,1.0,1.0,1,16,1,4,8,16,0.0625,1.0,0.25,0.125,0.0625
1974,in-house,1,0,0,1,1,6.0,6.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.125,0.0625
1974,kopa,1,0,0,0,1,11.0,11.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.0,0.0625
1974,landoni,1,0,0,0,1,10.0,10.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.0,0.0625
1974,umbro,2,0,0,0,2,11.5,11.5,2,16,1,4,8,16,0.125,0.0,0.0,0.0,0.125
1978,adidas,10,1,3,5,10,8.2,8.5,10,16,1,4,8,16,0.625,1.0,0.75,0.625,0.625
1978,baila,1,0,1,1,1,4.0,4.0,1,16,1,4,8,16,0.0625,0.0,0.25,0.125,0.0625
1978,deportes cóndor,1,0,0,0,1,10.0,10.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.0,0.0625
1978,erima,1,0,0,1,1,6.0,6.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.125,0.0625
1978,levi’s,1,0,0,0,1,16.0,16.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.0,0.0625
1978,puma,1,0,0,1,1,7.0,7.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.125,0.0625
1978,umbro,1,0,0,0,1,11.0,11.0,1,16,1,4,8,16,0.0625,0.0,0.0,0.0,0.0625
1982,adidas,13,0,3,4,8,13.307692307692308,14.0,13,24,1,4,8,16,0.5416666666666666,0.0,0.75,0.5,0.5
1982,admiral,2,0,0,1,2,8.0,8.0,2,24,1,4,8,16,0.08333333333333333,0.0,0.0,0.125,0.125
1982,le coq sportif,3,1,1,1,2,9.666666666666666,11.0,3,24,1,4,8,16,0.125,1.0,0.25,0.125,0.125
1982,penalty,1,0,0,0,0,20.0,20.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0
1982,puma,2,0,0,1,1,14.5,14.5,2,24,1,4,8,16,0.08333333333333333,0.0,0.0,0.125,0.0625
1982,topper,1,0,0,1,1,5.0,5.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.125,0.0625
1982,umbro,1,0,0,0,1,15.0,15.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0625
1982,,1,0,0,0,1,13.0,13.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0625
1986,adidas,13,0,3,4,8,12.923076923076923,14.0,13,24,1,4,8,16,0.5416666666666666,0.0,0.75,0.5,0.5
1986,diadora,1,0,0,0,1,12.0,12.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0625
1986,hummel,1,0,0,0,1,9.0,9.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0625
1986,le coq sportif,3,1,1,2,3,8.0,7.0,3,24,1,4,8,16,0.125,1.0,0.25,0.25,0.1875
1986,rainha,1,0,0,0,1,13.0,13.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0625
1986,topper,1,0,0,1,1,5.0,5.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.125,0.0625
1986,umbro,2,0,0,1,1,13.5,13.5,2,24,1,4,8,16,0.08333333333333333,0.0,0.0,0.125,0.0625
1986,weekend,1,0,0,0,0,20.0,20.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0
1986,,1,0,0,0,0,22.0,22.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0
1990,adidas,12,1,2,4,9,11.666666666666666,11.0,12,24,1,4,8,16,0.5,1.0,0.5,0.5,0.5625
1990,diadora,2,0,1,1,2,8.5,8.5,2,24,1,4,8,16,0.08333333333333333,0.0,0.25,0.125,0.125
1990,le coq sportif,1,0,0,0,1,11.0,11.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0625
1990,lotto,1,0,0,1,1,7.0,7.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.125,0.0625
1990,puma,1,0,0,0,0,18.0,18.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0
1990,reebok,1,0,0,0,0,22.0,22.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0
1990,topper,1,0,0,0,1,13.0,13.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0625
1990,umbro,5,0,1,2,2,14.2,18.0,5,24,1,4,8,16,0.20833333333333334,0.0,0.25,0.25,0.125
1994,adidas,10,0,2,5,9,9.2,8.5,10,24,1,4,8,16,0.4166666666666667,0.0,0.5,0.625,0.5625
1994,diadora,3,0,1,1,2,12.333333333333334,11.0,3,24,1,4,8,16,0.125,0.0,0.25,0.125,0.125
1994,lotto,3,0,0,1,2,15.0,15.0,3,24,1,4,8,16,0.125,0.0,0.0,0.125,0.125
1994,mitre,1,0,0,0,0,22.0,22.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0
1994,rapido,1,0,0,0,0,20.0,20.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0
1994,reebok,1,0,0,0,0,18.0,18.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0
1994,shamel,1,0,0,0,1,12.0,12.0,1,24,1,4,8,16,0.041666666666666664,0.0,0.0,0.0,0.0625
1994,umbro,4,1,1,1,2,13.5,16.0,4,24,1,4,8,16,0.16666666666666666,1.0,0.25,0.125,0.125
1998,aba sport,1,0,0,0,1,13.0,13.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0625
1998,adidas,6,1,1,3,5,8.666666666666666,8.5,6,32,1,4,8,16,0.1875,1.0,0.25,0.375,0.3125
1998,asics,1,0,0,0,0,31.0,31.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
1998,diadora,1,0,0,0,0,19.0,19.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
1998,hummel,1,0,0,1,1,8.0,8.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.125,0.0625
1998,kappa,2,0,0,0,0,23.0,23.0,2,32,1,4,8,16,0.0625,0.0,0.0,0.0,0.0
1998,lotto,2,0,1,1,1,14.5,14.5,2,32,1,4,8,16,0.0625,0.0,0.25,0.125,0.0625
1998,nike,6,0,2,3,4,14.166666666666666,8.5,6,32,1,4,8,16,0.1875,0.0,0.5,0.375,0.25
1998,puma,5,0,0,0,0,23.0,23.0,5,32,1,4,8,16,0.15625,0.0,0.0,0.0,0.0
1998,reebok,3,0,0,0,2,17.0,16.0,3,32,1,4,8,16,0.09375,0.0,0.0,0.0,0.125
1998,shamel,1,0,0,0,0,28.0,28.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
1998,umbro,3,0,0,0,2,17.0,15.0,3,32,1,4,8,16,0.09375,0.0,0.0,0.0,0.125
